Image,Date,Place,PM 2.5,PM 10,Blue,Gradient,Transmisiion,im contrast,roi contrast,entropy,Humidity,hsv,Time,log,Weather
299.jpg,14.5.15,maya Enclave,68.32,361.13,0.953493443,0,0.009909925,0.001060859,6.68115089,7.560585354,33,73.62514852,06:52 PM,-4.614218499,widespread dust
302.jpg,15.5.18,maya Enclave,66.61,224.86,0.921267234,0,0.009903435,0.000966711,8.501198221,7.395985834,44,32.57279026,10:20 AM,-4.614873612,haze
316.jpg,15.5.18,Maya Enclave,46.07,219.36,0.913884171,0,0.009978502,0.001092041,10.40406247,7.343380444,32,42.67537079,03:16 PM,-4.6073223,haze
317.jpg,15.5.18,Maya Enclave,43.27,214.76,0.992808442,0,0.009820079,0.001232923,8.594666242,6.397784969,35,5.649952608,06:23 PM,-4.623326112,haze
327.jpg,16.5.18,Maya Enclave,59.63,332.5,1,0,0.009983724,0.001057584,0.264713735,5.438109595,33,0,10:25 AM,-4.606799112,haze
328.jpg,16.5.18,Maya Enclave,39.89,255.01,0.944924438,0,0.009986846,0.001146743,3.5168714,7.214832899,19,82.01604656,02:20 PM,-4.606486452,haze
339.jpg,16.5.18,Maya Enclave,41.06,263.89,0.977395919,0,0.009923475,0.0012152,1.90393465,7.125366997,19,73.81248748,06:00 PM,-4.612852117,haze
341.jpg,17.5.18,Maya Enclave,101.98,229.31,0.974547629,0,0.009995644,0.001011114,1.199874083,6.775070953,25,20.48877942,09:43 AM,-4.605605881,haze
343.jpg,17.5.18,Maya Enclave,150.15,214.82,0.92674252,0,0.009899348,0.00103009,4.811816895,7.157277566,14,46.25862736,02:00 PM,-4.615286383,sunny
345.jpg,17.5.18,Maya Enclave,166.22,250.53,0.896183477,0,0.009997221,0.000832704,1.857652143,7.144918737,16,40.58866328,06:39 PM,-4.605448125,widespread dust
393.jpg,18.5.18,MAya Enclave,106.6,323.8,0.999921419,0,0.009982976,0.001036861,1.948208512,5.630269598,30,0.218858051,10:03 AM,-4.606874037,sunny
394.jpg,18.5.18,MAya Enclave,91.77,302.69,0.949102063,0,0.009990513,0.001160024,1.113405481,7.277834669,18,84.85839775,02:26 PM,-4.606119336,haze
